Queries                       ,Number of Overlapping Results ,Percent Overlap               ,Spearman Coefficient          
------------------------------,------------------------------,------------------------------,------------------------------
Query 1                       ,2                             ,20.00%                        ,-48.0
Query 2                       ,1                             ,10.00%                        ,1
Query 3                       ,0                             ,0.00%                         ,0
Query 4                       ,2                             ,20.00%                        ,-36.0
Query 5                       ,1                             ,10.00%                        ,0
Query 6                       ,3                             ,30.00%                        ,-0.5
Query 7                       ,3                             ,30.00%                        ,-19.25
Query 8                       ,3                             ,30.00%                        ,-15.25
Query 9                       ,0                             ,0.00%                         ,0
Query 10                      ,1                             ,10.00%                        ,0
Query 11                      ,4                             ,40.00%                        ,-1.9
Query 12                      ,2                             ,20.00%                        ,-4.0
Query 13                      ,5                             ,50.00%                        ,-1.5499999999999998
Query 14                      ,2                             ,20.00%                        ,-52.0
Query 15                      ,2                             ,20.00%                        ,1.0
Query 16                      ,1                             ,10.00%                        ,0
Query 17                      ,1                             ,10.00%                        ,0
Query 18                      ,0                             ,0.00%                         ,0
Query 19                      ,2                             ,20.00%                        ,-8.0
Query 20                      ,2                             ,20.00%                        ,-19.0
Query 21                      ,1                             ,10.00%                        ,0
Query 22                      ,0                             ,0.00%                         ,0
Query 23                      ,1                             ,10.00%                        ,1
Query 24                      ,2                             ,20.00%                        ,-25.0
Query 25                      ,2                             ,20.00%                        ,-51.0
Query 26                      ,4                             ,40.00%                        ,-2.5
Query 27                      ,0                             ,0.00%                         ,0
Query 28                      ,2                             ,20.00%                        ,-1.0
Query 29                      ,1                             ,10.00%                        ,1
Query 30                      ,0                             ,0.00%                         ,0
Query 31                      ,1                             ,10.00%                        ,0
Query 32                      ,1                             ,10.00%                        ,0
Query 33                      ,1                             ,10.00%                        ,0
Query 34                      ,2                             ,20.00%                        ,-12.0
Query 35                      ,0                             ,0.00%                         ,0
Query 36                      ,0                             ,0.00%                         ,0
Query 37                      ,2                             ,20.00%                        ,-57.0
Query 38                      ,2                             ,20.00%                        ,-67.0
Query 39                      ,2                             ,20.00%                        ,-44.0
Query 40                      ,0                             ,0.00%                         ,0
Query 41                      ,2                             ,20.00%                        ,0.0
Query 42                      ,1                             ,10.00%                        ,0
Query 43                      ,2                             ,20.00%                        ,-4.0
Query 44                      ,0                             ,0.00%                         ,0
Query 45                      ,1                             ,10.00%                        ,0
Query 46                      ,2                             ,20.00%                        ,-24.0
Query 47                      ,1                             ,10.00%                        ,0
Query 48                      ,1                             ,10.00%                        ,0
Query 49                      ,1                             ,10.00%                        ,0
Query 50                      ,2                             ,20.00%                        ,-19.0
Query 51                      ,2                             ,20.00%                        ,-25.0
Query 52                      ,1                             ,10.00%                        ,0
Query 53                      ,0                             ,0.00%                         ,0
Query 54                      ,1                             ,10.00%                        ,0
Query 55                      ,1                             ,10.00%                        ,0
Query 56                      ,1                             ,10.00%                        ,0
Query 57                      ,1                             ,10.00%                        ,0
Query 58                      ,0                             ,0.00%                         ,0
Query 59                      ,1                             ,10.00%                        ,0
Query 60                      ,0                             ,0.00%                         ,0
Query 61                      ,2                             ,20.00%                        ,-88.0
Query 62                      ,5                             ,50.00%                        ,-4.8
Query 63                      ,1                             ,10.00%                        ,0
Query 64                      ,2                             ,20.00%                        ,-7.0
Query 65                      ,2                             ,20.00%                        ,-9.0
Query 66                      ,2                             ,20.00%                        ,-15.0
Query 67                      ,1                             ,10.00%                        ,1
Query 68                      ,2                             ,20.00%                        ,-39.0
Query 69                      ,1                             ,10.00%                        ,0
Query 70                      ,1                             ,10.00%                        ,1
Query 71                      ,0                             ,0.00%                         ,0
Query 72                      ,2                             ,20.00%                        ,-28.0
Query 73                      ,2                             ,20.00%                        ,-1.0
Query 74                      ,0                             ,0.00%                         ,0
Query 75                      ,2                             ,20.00%                        ,-1.0
Query 76                      ,2                             ,20.00%                        ,-25.0
Query 77                      ,4                             ,40.00%                        ,-0.30000000000000004
Query 78                      ,2                             ,20.00%                        ,-60.0
Query 79                      ,1                             ,10.00%                        ,0
Query 80                      ,1                             ,10.00%                        ,1
Query 81                      ,2                             ,20.00%                        ,-1.0
Query 82                      ,2                             ,20.00%                        ,-35.0
Query 83                      ,1                             ,10.00%                        ,0
Query 84                      ,0                             ,0.00%                         ,0
Query 85                      ,1                             ,10.00%                        ,1
Query 86                      ,3                             ,30.00%                        ,-5.5
Query 87                      ,2                             ,20.00%                        ,-16.0
Query 88                      ,0                             ,0.00%                         ,0
Query 89                      ,2                             ,20.00%                        ,-24.0
Query 90                      ,0                             ,0.00%                         ,0
Query 91                      ,4                             ,40.00%                        ,-1.6
Query 92                      ,0                             ,0.00%                         ,0
Query 93                      ,1                             ,10.00%                        ,0
Query 94                      ,3                             ,30.00%                        ,-17.5
Query 95                      ,0                             ,0.00%                         ,0
Query 96                      ,1                             ,10.00%                        ,0
Query 97                      ,1                             ,10.00%                        ,1
Query 98                      ,3                             ,30.00%                        ,-2.5
Query 99                      ,0                             ,0.00%                         ,0
Query 100                     ,2                             ,20.00%                        ,-4.0
Averages                      ,1.45                          ,14.50%                        ,-9.1315
